,,,,,2015,2020,2025,2030,2035,2040,2045,2050
NPS-Ref,NAM,CAN,ASP,CHN,,5.57749E-07,1.17061E-06,1.49918E-06,1.94196E-06,2.4224E-06,2.79053E-06,3.21689E-06
NPS-Ref,NAM,CAN,ASP,IDN,,1.89898E-09,6.474E-09,8.31645E-09,1.05961E-08,1.47582E-08,1.85256E-08,2.44086E-08
NPS-Ref,NAM,CAN,ASP,IND,,2.4572E-07,4.77327E-07,4.40396E-07,5.41809E-07,5.8912E-07,7.03317E-07,8.18566E-07
NPS-Ref,NAM,CAN,ASP,JPN,,12.83520588,13.94062151,16.37329404,16.3732385,24.63132239,40.67745401,40.67761996
NPS-Ref,NAM,CAN,ASP,KOR,,3.529927487,2.426950103,1.05995E-05,1.03471E-05,6.70156E-06,6.84714E-06,7.10447E-06
NPS-Ref,NAM,CAN,ASP,MYS,,6.3633E-09,1.18481E-08,1.56083E-08,2.00885E-08,2.67779E-08,3.38837E-08,4.3272E-08
NPS-Ref,NAM,CAN,ASP,PAK,,2.16717E-09,9.61551E-09,1.06218E-08,1.23256E-08,1.64262E-08,2.05654E-08,2.50475E-08
NPS-Ref,NAM,CAN,ASP,PHL,,6.03315E-09,3.13358E-08,5.38335E-08,8.23645E-08,1.19848E-07,1.46704E-07,1.58399E-07
NPS-Ref,NAM,CAN,ASP,SGP,,7.82585E-08,5.03579E-08,3.69866E-08,4.77603E-08,6.24176E-08,8.09922E-08,1.05056E-07
NPS-Ref,NAM,CAN,ASP,THA,,1.63302E-08,7.45707E-08,1.29903E-07,2.03061E-07,2.42525E-07,2.99164E-07,3.5224E-07
NPS-Ref,NAM,CAN,ASP,TWN,,3.35333E-07,9.34597E-07,1.0801E-06,1.23236E-06,1.33907E-06,1.51978E-06,1.6863E-06
NPS-Ref,NAM,CAN,ASP,VNM,,,1.3897E-08,2.2376E-08,3.78521E-08,7.91698E-08,9.28454E-08,1.00858E-07
NPS-Ref,NAM,USA,SAM,ARG,6.92339E-09,4.89727E-08,9.13409E-08,4.00824E-08,2.08893E-08,2.30945E-08,2.54191E-08,2.97467E-08
NPS-Ref,NAM,USA,SAM,BRA,1.06431E-08,5.08346E-08,8.16529E-08,2.97609E-08,3.35392E-08,3.67885E-08,4.06467E-08,4.48854E-08
NPS-Ref,NAM,USA,SAM,CHL,2.43895E-08,2.28325E-06,0.745917101,3.97873E-07,1.44396E-07,1.10084E-07,9.29399E-08,1.11456E-07
NPS-Ref,NAM,USA,SAM,COL,,1.20512E-08,5.37147E-08,1.13349E-07,3.04031E-07,3.99855E-07,4.9278E-07,5.22245E-07
